,Correlation,Mutual_Info,Random_Forest,Gradient_Boost,Average
co,0.7903648569693578,0.14491872214219573,1.82850039316664e-05,1.6403960012493927e-05,0.2338295670188744
pm10_rolling_48h_std,0.7682525959075304,0.16450395705877152,0.00022821670271476715,9.884519182374273e-06,0.23324866354704976
aqi_rolling_24h_max,0.5593343699682245,0.35727414424513493,0.0,0.00018472241755829896,0.22919830915772943
pm25_rolling_24h_std,0.7295193880388364,0.16537268741181102,0.0,3.220070549714452e-08,0.22372302691283824
pm10_rolling_24h_std,0.734922302144584,0.14440861736878371,1.777772707529706e-05,4.571653238696684e-07,0.21983728860144172
pm25_lag_48h,0.6989133713374259,0.12071316412122764,0.00016067858606491815,1.656361571157671e-08,0.20494680765208356
aqi_lag_48h,0.7018344362383607,0.11708334632514826,0.0,6.135827368900688e-08,0.20472946098044567
pm25_rolling_12h_std,0.67108487765284,0.14559211422106696,1.1805590356088544e-06,7.951020624216919e-05,0.2041894206597962
pm10_lag_48h,0.7028321562536781,0.10926898628536579,0.0,5.0865211031583665e-09,0.20302528690639124
pm10_rolling_12h_std,0.6707740702530142,0.11524318832853289,0.0,7.227722560359549e-07,0.19650449533845077
aqi_pct_change_1h,0.35931594066979583,0.4233693509442043,1.5185134205310244e-06,5.277047317525581e-06,0.19567302179368457
pm10_lag_72h,0.6680718727759634,0.10002706407808055,0.0,8.173831981846302e-08,0.19202475464809093
aqi_lag_72h,0.660339989912137,0.10653360159448029,0.0,1.9577886982513123e-08,0.1917184027711261
pm25_lag_72h,0.6599439375016457,0.10502681976367763,0.0,6.208338487396226e-07,0.19124284452479304
pm10_lag_168h,0.6624364334865632,0.09801055809271297,0.00013777787677272604,2.1789076407213265e-08,0.19014619781128134
pm25_lag_168h,0.6536245998226783,0.10366655519121723,0.00012720841039860073,0.0009057347297189138,0.18958102453850326
pm25_rolling_6h_std,0.6173252416793599,0.1241439287493299,1.840471128154062e-05,7.353734227308234e-07,0.1853720776283485
aqi_lag_168h,0.6384187474423302,0.10077755918353469,8.844275858698272e-05,1.6692208031690025e-08,0.18482119151916498
aqi_rolling_48h_max,0.4392587874636656,0.28445242189763315,0.0,2.2697036376459426e-09,0.1809278029077506
aqi_change_24h,0.4035939253849659,0.09117237202099028,0.08989785908831506,0.12828775287556599,0.17823797734245933
pm10_rolling_6h_std,0.6071787739721659,0.09541601263965573,6.1473101617534e-06,2.853288381609548e-07,0.17565030481270538
aqi_pct_change_3h,0.33748143228605804,0.35511492166498515,2.116074863342263e-06,7.519486311815193e-07,0.1731498054936344
pm25_rolling_3h_std,0.5629219639622757,0.11073880202285309,8.144569861726951e-06,8.133611931720585e-08,0.16841724797277746
so2,0.5779242610993209,0.09210480816725716,4.645197189341565e-05,1.2293183771963824e-07,0.16751891104257732
no2,0.5855821059565074,0.07664191981837726,0.0,2.1548993704288953e-07,0.1655560603162054
city_encoded,0.5083347855285265,0.12398312732471382,0.0,4.633412474247333e-18,0.1580794782133101
aqi_rolling_72h_max,0.38027101050688816,0.24745161877045693,5.624708614292248e-07,2.5437558646385693e-05,0.15693715732671323
pm10_rolling_3h_std,0.5444569971511173,0.07935123976058867,2.4312069834994894e-05,4.3998051474156346e-05,0.15596913675825377
aqi_pct_change_6h,0.31369149921103534,0.29234962644380363,1.1649453806902389e-05,0.00018694416214234117,0.1515599298176971
humidity_rolling_72h_min,0.4321200286567608,0.1272159637813533,0.0,4.633412474247333e-18,0.1398339981095285
humidity_lag_48h,0.4321200286567608,0.1268247092729074,0.0,4.633412474247333e-18,0.13973618448241704
humidity_lag_168h,0.4321200286567608,0.12682073020827322,0.0,4.633412474247333e-18,0.1397351897162585
humidity_rolling_6h_mean,0.4321200286567608,0.12675954235210213,0.0,4.633412474247333e-18,0.13971989275221575
humidity_lag_24h,0.4321200286567608,0.126641040210579,0.0,4.633412474247333e-18,0.13969026721683495
humidity_lag_72h,0.4321200286567608,0.1265497337930999,0.0,4.633412474247333e-18,0.13966744061246517
humidity_rolling_48h_min,0.4321200286567608,0.12646896210389005,0.0,6.50009779432326e-11,0.13964724770641296
humidity_lag_6h,0.4321200286567608,0.1263982201792892,0.0,4.633412474247333e-18,0.13962956220901251
humidity,0.4321200286567608,0.12635681968998466,0.0,4.63409120644393e-18,0.13961921208668637
humidity_rolling_3h_max,0.4321200286567608,0.1259539867626881,0.0,4.633412474247333e-18,0.13951850385486222
humidity_rolling_3h_mean,0.4321200286567608,0.12565949988242184,0.0,4.633412474247333e-18,0.13944488213479567
humidity_rolling_48h_mean,0.4321200286567608,0.12556398696178073,0.0,4.633412474247333e-18,0.13942100390463538
humidity_rolling_12h_max,0.4321200286567608,0.12526703730159897,0.0,0.0,0.13934676648958993
humidity_rolling_3h_min,0.4321200286567608,0.12510545253154243,0.0,3.793545849481819e-09,0.13930637124546227
humidity_rolling_6h_max,0.4321200286567608,0.12472295865143145,0.0,4.633412474247333e-18,0.13921074682704807
humidity_rolling_24h_mean,0.4321200286567608,0.12466826672626256,0.0,4.633412474247333e-18,0.13919707384575583
humidity_rolling_12h_min,0.4321200286567608,0.12443026331415381,0.0,4.633412474247333e-18,0.13913757299272866
